Index,Item,Price
1,Water Bottle (Room Temperature),$0.30
2,Water Bottle (Cool),$0.30
3,Water Bottle (Frozen),$0.30
4,Milk (Full Cream),$0.60
5,Chocolate Milk,$0.80
6,Juice Box (Apple),$0.50
7,Juice Box (Orange),$0.50
8,Juice Box (Tropical),$0.50
9,Redbull (Cold),$3.00
10,Redbull,$3.00
11,Coke (No Sugar) (Cold),$1.50
12,Coke (No Sugar),$1.50
13,Coke (Sugar) (Cold),$1.50
14,Coke (Sugar),$1.50
15,Pepsi (Cold),$1.50
16,Pepsi,$1.50
17,Mountain Dew (Cold),$1.50
18,Mountain Dew,$1.50
19,Solo (Cold),$1.50
20,Solo,$1.50
21,Fanta (Cold),$1.50
22,Fanta,$1.50
23,Kirk's Creaming Soda (Cold),$1.50
24,Kirk's Creaming Soda,$1.50
25,Oat Milk,$2.50
26,Zooper Dooper,$0.20
27,Rainbow Paddle Pops,$0.60
28,Connoisseur (Cookies n' Cream),$1.50
29,Connoisseur Mini (Cookies n' Cream),$1.50
30,Magnum Ice Cream,$1.50
31,Chupa Chups Bites,$0.20
32,Chupa Chups Lollies,$0.20
33,Mini M&M's,$0.50
34,Cadbury Chocolates,$0.50
35,Reese's Cups,$1.00
36,KitKat,$3.00
37,Mint Slices,$2.50
38,Maltesers,$3.00
39,Tim Tam (Original),$3.00
40,Tim Tam (Double Coat),$3.00
41,Pringles (Original),$1.50
42,Pringles (Sour Cream & Onion),$1.50
43,Honey Soy Chips (Medium),$2.50
44,Oreo Mini's,$0.50
45,Arnott Shapes,$0.40
46,Plain Smith's Chips (Small),$0.40
47,Assorted Chips (Small),$0.30
48,Red Rock Deli Chips (Small),$0.80
49,Microwave Popcorn,$0.90
50,Corn Thins,$1.80
51,Bhuja,$2.00
52,Mac 'n' Cheese,$0.80
53,Noodles,$0.60
54,Cup Noodles,$1.20
55,Egg,$0.30
56,Yoghurt (Vanilla),$0.80
57,Bread (White),$1.40
58,Bread (Wholemeal),$1.40
59,Banana,$0.50
60,Frozen Pie,$5.00
61,Frozen Sausage Rolls,$5.00
62,Pads (Regular) (Individual),$0.10
63,Pads (Regular) (Whole),$2.50
64,Pads (Super) (Individual),$0.10
65,Pads (Super) (Whole),$2.50
66,Tampons (Regular) (Box),$1.00
67,Condoms (Regular) (Individual),$0.20
68,Soap Powder (Scoop),$0.25
69,Toilet Paper (Roll),$0.50
